TXN_ID,ACCOUNT_NO,TXN_DATE,AMOUNT,CURRENCY,STATUS
TXN001,1234567890,2025-07-01,1500.50,INR,SUCCESS
TXN002,9876543210,2025-07-01,250.00,USD,FAILED
TXN003,123456789,2025-07-01,100.00,EUR,SUCCESS
TXN004,ABCDEFGHIJ,2025-07-01,500.00,USD,SUCCESS
TXN005,1234567890,2025-07-01,-300.00,INR,SUCCESS
TXN006,1234567890,2025-07-01,750.00,GBP,INVALID
TXN007,1234567890,2025-07-02,100.00,INR,PENDING
TXN008,1234567890,,300.00,USD,SUCCESS
TXN009,1234567890,2025-07-01,,INR,SUCCESS
TXN001,1234567890,2025-07-01,900.00,INR,FAILED
